dataID,HHuniqueID,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,past_Outcome,Y_AcceptedOffer,CallDuration,headOfhouseholdGender,annualDonations,EstRace,PetsPurchases,DigitalHabits_5_AlwaysOn,AffluencePurchases,Age,Job,Marital,Education,DefaultOnRecord,RecentBalance,HHInsurance,CarLoan,carMake,carModel,carYr
66,373,1,1,7,1,-1,0,NA,1,295,1,NA,NA,TRUE,4,TRUE,92,6,2,2,NA,NA,NA,NA,NA,NA,NA
67,3343,1,29,5,1,-1,0,NA,2,25,2,NA,NA,TRUE,1,FALSE,22,5,3,3,NA,NA,NA,NA,NA,NA,NA
68,616,1,20,1,1,-1,0,NA,2,185,2,NA,NA,FALSE,3,TRUE,43,11,2,1,NA,NA,NA,NA,NA,NA,NA
69,297,1,15,1,1,-1,0,NA,1,135,1,246,NA,TRUE,3,TRUE,58,1,2,2,NA,NA,NA,NA,NA,NA,NA
70,408,1,18,7,1,-1,0,NA,2,316,1,NA,NA,TRUE,5,FALSE,32,8,2,2,NA,NA,NA,NA,NA,NA,NA
71,638,1,7,9,2,-1,0,NA,1,1391,2,NA,NA,FALSE,1,FALSE,31,2,2,1,NA,NA,NA,NA,NA,NA,NA
72,3528,1,26,9,2,-1,0,NA,2,341,2,NA,NA,FALSE,5,TRUE,37,5,2,3,NA,NA,NA,NA,NA,NA,NA
73,2464,1,2,12,7,94,2,2,2,206,1,NA,41,FALSE,2,TRUE,50,2,2,1,NA,NA,NA,NA,NA,NA,NA
74,2538,1,29,9,3,-1,0,NA,2,209,2,NA,NA,FALSE,2,TRUE,49,3,1,2,NA,NA,NA,NA,NA,NA,NA
75,2904,1,27,2,4,-1,0,NA,2,58,2,NA,15,FALSE,1,FALSE,55,8,2,2,NA,NA,NA,NA,NA,NA,NA
76,2032,1,10,4,1,183,1,1,1,169,2,NA,34,FALSE,4,TRUE,28,2,3,1,NA,NA,NA,NA,NA,NA,NA
77,1760,1,23,7,1,320,1,2,2,181,2,NA,NA,TRUE,2,FALSE,44,8,2,2,NA,NA,NA,NA,NA,NA,NA
78,2882,1,30,9,1,-1,0,NA,2,312,2,NA,NA,FALSE,2,FALSE,51,2,2,2,NA,NA,NA,NA,NA,NA,NA
79,3738,1,15,9,1,176,1,1,2,153,1,NA,NA,FALSE,1,FALSE,38,5,2,3,NA,NA,NA,NA,NA,NA,NA
80,996,1,29,9,1,-1,0,NA,2,322,2,NA,76,FALSE,2,FALSE,47,8,2,2,NA,NA,NA,NA,NA,NA,NA
81,2800,1,15,9,3,-1,0,NA,1,1257,2,NA,NA,FALSE,2,FALSE,44,10,3,2,NA,NA,NA,NA,NA,NA,NA
82,2757,1,27,2,6,-1,0,NA,2,57,2,NA,NA,TRUE,1,FALSE,23,8,3,2,NA,NA,NA,NA,NA,NA,NA
83,1353,1,12,9,2,-1,0,NA,1,289,2,NA,NA,TRUE,3,TRUE,60,6,2,2,NA,NA,NA,NA,NA,NA,NA
84,2687,1,17,7,1,-1,0,NA,2,94,2,NA,NA,FALSE,4,FALSE,59,5,2,3,NA,NA,NA,NA,NA,NA,NA
85,2524,1,29,5,2,-1,0,NA,1,1917,1,NA,NA,TRUE,4,FALSE,36,8,1,2,NA,NA,NA,NA,NA,NA,NA
86,1379,1,10,6,1,-1,0,NA,2,268,2,NA,NA,FALSE,4,FALSE,41,1,1,2,NA,NA,NA,NA,NA,NA,NA
87,1819,1,7,9,1,-1,0,NA,2,227,1,444,NA,TRUE,1,TRUE,54,5,2,3,NA,NA,NA,NA,NA,NA,NA
88,2526,1,13,9,2,-1,0,NA,1,1207,1,NA,NA,TRUE,1,FALSE,63,6,2,2,NA,NA,NA,NA,NA,NA,NA
89,3952,1,15,9,3,352,6,2,2,460,1,213,22,TRUE,2,FALSE,35,8,2,2,NA,NA,NA,NA,NA,NA,NA
90,739,1,24,6,1,-1,0,NA,1,1204,2,NA,34,FALSE,2,TRUE,41,10,3,2,NA,NA,NA,NA,NA,NA,NA
91,2017,1,6,9,1,-1,0,NA,1,1201,2,NA,NA,FALSE,2,FALSE,59,7,2,1,NA,NA,NA,NA,NA,NA,NA
92,1345,1,30,9,2,-1,0,NA,2,652,2,NA,NA,TRUE,3,TRUE,26,10,2,2,NA,NA,NA,NA,NA,NA,NA
93,786,1,27,9,4,-1,0,NA,2,112,2,NA,NA,FALSE,1,FALSE,28,5,3,3,NA,NA,NA,NA,NA,NA,NA
94,2886,2,21,10,2,-1,0,NA,2,220,2,NA,NA,TRUE,1,FALSE,34,3,3,3,NA,NA,NA,NA,NA,NA,NA
95,493,1,23,9,3,-1,0,NA,2,160,1,NA,91,FALSE,2,TRUE,48,5,2,2,NA,NA,NA,NA,NA,NA,NA
96,2062,1,25,6,12,-1,0,NA,2,63,1,NA,4,TRUE,1,FALSE,40,2,2,1,NA,NA,NA,NA,NA,NA,NA
97,872,1,29,5,2,-1,0,NA,2,251,2,NA,NA,TRUE,1,FALSE,42,2,2,2,NA,NA,NA,NA,NA,NA,NA
98,307,1,3,7,1,-1,0,NA,1,539,2,NA,NA,FALSE,4,TRUE,32,2,2,2,NA,NA,NA,NA,NA,NA,NA
99,3204,2,7,6,5,-1,0,NA,2,46,1,NA,NA,FALSE,2,TRUE,43,2,2,2,NA,NA,NA,NA,NA,NA,NA
100,2986,1,18,5,2,95,4,1,2,177,1,NA,NA,TRUE,3,TRUE,57,5,1,3,NA,NA,NA,NA,NA,NA,NA
101,774,1,16,1,4,-1,0,NA,2,76,2,NA,NA,FALSE,4,TRUE,37,5,3,3,NA,NA,NA,NA,NA,NA,NA
102,1405,1,13,9,2,-1,0,NA,1,1721,1,NA,17,TRUE,4,FALSE,33,7,3,3,NA,NA,NA,NA,NA,NA,NA
103,1961,1,19,6,1,276,2,2,1,1148,1,NA,NA,TRUE,5,TRUE,35,7,3,3,NA,NA,NA,NA,NA,NA,NA
104,1005,1,4,9,2,-1,0,NA,1,617,1,81,NA,TRUE,4,TRUE,54,3,2,3,NA,NA,NA,NA,NA,NA,NA
105,1446,1,17,10,1,-1,0,NA,2,83,1,159,NA,FALSE,3,TRUE,37,10,3,2,NA,NA,NA,NA,NA,NA,NA
106,282,1,4,2,1,-1,0,NA,1,600,2,NA,NA,FALSE,2,FALSE,33,1,1,2,NA,NA,NA,NA,NA,NA,NA
107,1069,1,2,4,1,-1,0,NA,2,138,2,NA,NA,FALSE,4,FALSE,48,1,2,2,NA,NA,NA,NA,NA,NA,NA
108,1721,1,20,2,2,-1,0,NA,2,195,2,NA,NA,TRUE,4,FALSE,51,7,2,3,NA,NA,NA,NA,NA,NA,NA
109,1882,1,25,9,1,-1,0,NA,1,272,1,NA,NA,FALSE,4,FALSE,49,10,2,2,NA,NA,NA,NA,NA,NA,NA
110,1110,2,14,6,4,-1,0,NA,2,123,2,NA,NA,FALSE,2,TRUE,48,5,1,3,NA,NA,NA,NA,NA,NA,NA
111,1614,1,7,6,4,-1,0,NA,1,494,1,304,NA,TRUE,4,TRUE,26,9,3,2,NA,NA,NA,NA,NA,NA,NA
112,3406,1,2,7,2,-1,0,NA,1,160,1,NA,NA,FALSE,1,FALSE,39,1,1,2,NA,NA,NA,NA,NA,NA,NA
113,3474,1,28,9,4,-1,0,NA,2,81,2,NA,NA,FALSE,4,TRUE,30,2,3,2,NA,NA,NA,NA,NA,NA,NA
114,2906,1,2,8,2,-1,0,NA,2,73,1,NA,36,TRUE,4,TRUE,37,5,3,3,NA,NA,NA,NA,NA,NA,NA
115,2683,1,26,9,3,-1,0,NA,2,159,1,NA,NA,FALSE,1,TRUE,19,9,3,2,NA,NA,NA,NA,NA,NA,NA
116,2661,1,30,1,1,86,3,3,1,297,1,NA,NA,TRUE,2,TRUE,30,10,3,3,NA,NA,NA,NA,NA,NA,NA
117,3662,1,30,6,4,-1,0,NA,1,543,2,NA,55,TRUE,1,TRUE,49,10,2,3,NA,NA,NA,NA,NA,NA,NA
118,3070,1,4,4,5,184,1,3,1,94,1,NA,NA,FALSE,4,FALSE,43,5,2,3,NA,NA,NA,NA,NA,NA,NA
119,1057,1,10,2,1,728,2,1,1,447,2,NA,NA,FALSE,1,TRUE,55,10,2,2,NA,NA,NA,NA,NA,NA,NA
120,1586,1,28,6,5,-1,0,NA,2,165,2,NA,33,FALSE,2,FALSE,34,8,2,2,NA,NA,NA,NA,NA,NA,NA
121,344,1,6,4,1,-1,0,NA,1,141,2,NA,16,TRUE,1,TRUE,60,2,2,1,NA,NA,NA,NA,NA,NA,NA
122,1963,1,30,3,2,-1,0,NA,1,369,1,NA,NA,TRUE,2,TRUE,47,5,3,3,NA,NA,NA,NA,NA,NA,NA
123,1835,2,9,10,1,-1,0,NA,1,201,1,NA,NA,FALSE,2,FALSE,38,10,1,3,NA,NA,NA,NA,NA,NA,NA
124,3650,1,20,7,2,-1,0,NA,1,973,2,NA,NA,TRUE,5,FALSE,51,1,2,2,NA,NA,NA,NA,NA,NA,NA
125,799,1,15,12,2,105,2,3,1,107,1,NA,NA,FALSE,5,FALSE,31,2,2,1,NA,NA,NA,NA,NA,NA,NA
126,1290,1,10,6,5,-1,0,NA,2,161,1,331,NA,TRUE,2,FALSE,42,5,3,3,NA,NA,NA,NA,NA,NA,NA
127,994,1,22,2,2,-1,0,NA,1,671,1,NA,NA,FALSE,5,FALSE,44,3,2,3,NA,NA,NA,NA,NA,NA,NA
128,3968,1,20,10,2,122,2,2,1,1258,1,290,NA,FALSE,2,FALSE,39,8,2,2,NA,NA,NA,NA,NA,NA,NA
129,3390,1,21,10,1,-1,0,NA,1,1571,2,NA,NA,TRUE,1,TRUE,46,2,2,2,NA,NA,NA,NA,NA,NA,NA
130,1367,1,19,2,2,-1,0,NA,2,102,2,NA,NA,TRUE,5,FALSE,30,10,3,3,NA,NA,NA,NA,NA,NA,NA
131,3782,2,9,6,3,-1,0,NA,2,246,2,229,NA,TRUE,3,FALSE,33,1,2,3,NA,NA,NA,NA,NA,NA,NA
132,434,1,28,3,1,-1,0,NA,1,893,2,NA,NA,FALSE,4,FALSE,41,2,2,1,NA,NA,NA,NA,NA,NA,NA
133,3451,1,13,8,1,-1,0,NA,2,432,1,NA,NA,FALSE,2,FALSE,25,1,3,2,NA,NA,NA,NA,NA,NA,NA
134,3091,1,16,1,1,317,1,1,2,309,2,NA,NA,TRUE,2,TRUE,33,2,2,2,NA,NA,NA,NA,NA,NA,NA
135,455,1,9,6,1,-1,0,NA,2,77,1,NA,NA,TRUE,5,TRUE,39,2,2,1,NA,NA,NA,NA,NA,NA,NA
136,2048,1,20,2,1,90,4,2,1,293,2,NA,51,FALSE,1,FALSE,36,10,2,3,NA,NA,NA,NA,NA,NA,NA
137,519,1,21,10,1,-1,0,NA,1,648,1,NA,45,TRUE,4,TRUE,31,10,1,3,NA,NA,NA,NA,NA,NA,NA
138,3053,1,3,6,1,-1,0,NA,1,203,2,NA,NA,TRUE,2,FALSE,32,1,2,2,NA,NA,NA,NA,NA,NA,NA
139,2073,1,14,9,1,290,2,1,2,74,2,NA,NA,FALSE,2,TRUE,45,7,2,2,NA,NA,NA,NA,NA,NA,NA
140,2511,1,9,2,3,94,4,3,2,145,2,NA,NA,TRUE,3,TRUE,26,5,3,3,NA,NA,NA,NA,NA,NA,NA
141,3735,1,12,9,2,-1,0,NA,2,180,1,NA,NA,FALSE,1,TRUE,45,1,2,2,NA,NA,NA,NA,NA,NA,NA
142,3656,1,4,4,1,-1,0,NA,2,515,1,NA,70,FALSE,5,TRUE,38,2,3,3,NA,NA,NA,NA,NA,NA,NA
143,810,1,28,6,3,-1,0,NA,2,31,2,NA,50,TRUE,1,FALSE,30,2,3,2,NA,NA,NA,NA,NA,NA,NA
144,3857,1,17,1,1,-1,0,NA,2,135,1,NA,80,TRUE,5,FALSE,37,2,3,2,NA,NA,NA,NA,NA,NA,NA
145,2452,2,29,5,2,-1,0,NA,1,403,2,NA,NA,FALSE,2,TRUE,45,1,2,2,NA,NA,NA,NA,NA,NA,NA
146,1238,1,13,6,1,412,1,2,1,475,1,NA,NA,TRUE,4,TRUE,25,9,2,3,NA,NA,NA,NA,NA,NA,NA
147,2020,2,29,11,3,155,3,2,1,220,1,NA,NA,FALSE,3,TRUE,40,2,2,2,NA,NA,NA,NA,NA,NA,NA
148,1327,1,8,9,1,-1,0,NA,2,134,2,NA,NA,TRUE,2,TRUE,32,8,2,2,NA,NA,NA,NA,NA,NA,NA
149,1293,1,9,7,2,-1,0,NA,2,553,2,NA,NA,FALSE,3,FALSE,40,8,2,2,NA,NA,NA,NA,NA,NA,NA
150,53,1,15,9,1,350,8,1,2,185,1,465,NA,TRUE,1,TRUE,32,8,2,2,NA,NA,NA,NA,NA,NA,NA
151,1321,1,27,2,4,92,1,1,1,700,1,NA,NA,TRUE,2,TRUE,55,4,1,1,NA,NA,NA,NA,NA,NA,NA
152,1676,1,12,11,1,-1,0,NA,1,146,1,NA,NA,TRUE,1,FALSE,55,6,1,2,NA,NA,NA,NA,NA,NA,NA
153,1569,1,30,9,1,-1,0,NA,2,234,2,NA,NA,FALSE,4,FALSE,31,2,2,2,NA,NA,NA,NA,NA,NA,NA
154,1027,1,2,7,2,-1,0,NA,1,482,2,NA,79,TRUE,5,TRUE,39,2,2,1,NA,NA,NA,NA,NA,NA,NA
155,3174,1,12,1,3,-1,0,NA,1,176,1,NA,NA,TRUE,3,FALSE,39,2,2,2,NA,NA,NA,NA,NA,NA,NA
156,1731,1,4,2,1,1,8,3,1,288,2,NA,NA,FALSE,4,FALSE,55,5,2,2,NA,NA,NA,NA,NA,NA,NA
157,3999,1,3,7,1,-1,0,NA,2,110,2,NA,12,TRUE,3,FALSE,36,5,3,2,NA,NA,NA,NA,NA,NA,NA
158,450,1,21,10,2,179,3,2,2,19,2,NA,NA,TRUE,4,TRUE,37,8,3,2,NA,NA,NA,NA,NA,NA,NA
159,3801,1,19,10,1,-1,0,NA,2,60,1,520,66,FALSE,1,FALSE,27,8,3,2,NA,NA,NA,NA,NA,NA,NA
160,1576,1,13,1,1,-1,0,NA,1,122,1,NA,NA,TRUE,4,TRUE,60,4,2,2,NA,NA,NA,NA,NA,NA,NA
161,2492,1,27,9,2,-1,0,NA,1,417,2,145,NA,TRUE,5,FALSE,37,1,1,2,NA,NA,NA,NA,NA,NA,NA
162,3143,1,19,7,4,-1,0,NA,2,93,2,NA,27,FALSE,5,TRUE,47,5,2,3,NA,NA,NA,NA,NA,NA,NA
163,34,1,20,2,4,-1,0,NA,2,70,2,NA,63,FALSE,1,TRUE,38,10,2,2,NA,NA,NA,NA,NA,NA,NA
164,666,1,15,4,3,189,1,3,1,394,1,NA,66,TRUE,3,FALSE,33,10,3,2,NA,NA,NA,NA,NA,NA,NA
165,1136,1,20,7,6,-1,0,NA,2,13,2,NA,NA,FALSE,5,TRUE,41,1,3,2,NA,NA,NA,NA,NA,NA,NA
166,3248,1,9,9,1,-1,0,NA,1,654,1,NA,NA,FALSE,3,TRUE,58,1,2,2,NA,NA,NA,NA,NA,NA,NA
167,2577,1,9,4,2,-1,0,NA,2,60,1,NA,NA,TRUE,2,TRUE,43,2,2,2,NA,NA,NA,NA,NA,NA,NA
168,423,1,22,2,2,-1,0,NA,1,565,2,NA,21,FALSE,2,FALSE,31,5,3,3,NA,NA,NA,NA,NA,NA,NA
169,3464,1,20,1,5,-1,0,NA,1,227,1,NA,NA,FALSE,1,TRUE,31,8,3,2,NA,NA,NA,NA,NA,NA,NA
170,735,1,3,6,3,-1,0,NA,2,230,1,NA,68,FALSE,5,TRUE,26,1,2,2,NA,NA,NA,NA,NA,NA,NA
171,3607,2,31,6,7,-1,0,NA,2,55,2,NA,NA,FALSE,4,TRUE,33,2,3,2,NA,NA,NA,NA,NA,NA,NA
172,2626,1,21,10,1,-1,0,NA,2,297,1,NA,NA,FALSE,1,TRUE,30,2,3,2,NA,NA,NA,NA,NA,NA,NA
173,22,1,18,8,1,290,3,3,1,362,2,NA,NA,FALSE,5,FALSE,41,5,2,3,NA,NA,NA,NA,NA,NA,NA
174,935,1,16,10,4,-1,0,NA,1,1556,2,NA,25,TRUE,3,FALSE,55,5,3,3,NA,NA,NA,NA,NA,NA,NA
175,3107,1,28,2,8,-1,0,NA,2,373,1,NA,6,FALSE,3,FALSE,62,6,2,2,NA,NA,NA,NA,NA,NA,NA
176,578,1,9,9,3,-1,0,NA,2,44,2,NA,NA,FALSE,3,TRUE,29,2,2,2,NA,NA,NA,NA,NA,NA,NA
177,1922,1,13,11,1,92,5,3,1,190,2,NA,80,FALSE,1,FALSE,30,2,2,1,NA,NA,NA,NA,NA,NA,NA
178,3639,1,8,9,3,-1,0,NA,2,238,2,NA,NA,TRUE,1,TRUE,32,2,3,1,NA,NA,NA,NA,NA,NA,NA
179,672,1,29,12,1,120,2,1,1,159,2,NA,32,TRUE,3,TRUE,54,5,2,3,NA,NA,NA,NA,NA,NA,NA
180,3616,1,26,2,1,-1,0,NA,1,624,1,258,NA,FALSE,5,TRUE,58,5,2,3,NA,NA,NA,NA,NA,NA,NA
181,2714,1,6,9,1,-1,0,NA,2,144,2,NA,NA,TRUE,3,FALSE,51,10,2,2,NA,NA,NA,NA,NA,NA,NA
182,3997,1,7,6,4,-1,0,NA,2,151,1,NA,NA,FALSE,1,FALSE,51,5,2,3,NA,NA,NA,NA,NA,NA,NA
183,1333,1,4,9,1,90,2,3,1,552,2,NA,NA,TRUE,5,TRUE,21,9,3,1,NA,NA,NA,NA,NA,NA,NA
184,3246,1,17,7,1,-1,0,NA,1,522,1,476,NA,TRUE,2,FALSE,29,5,3,3,NA,NA,NA,NA,NA,NA,NA
185,1886,1,14,1,1,-1,0,NA,1,173,2,NA,NA,TRUE,1,FALSE,52,5,2,2,NA,NA,NA,NA,NA,NA,NA
186,811,1,25,11,1,94,2,3,1,304,1,NA,NA,TRUE,4,FALSE,18,9,3,2,NA,NA,NA,NA,NA,NA,NA
